"Time (s) Run #1";"Period (s) Run #1";"Time (s) Run #2";"Period (s) Run #2";"Time (s) Run #3";"Period (s) Run #3";"Time (s) Run #4";"Period (s) Run #4";"Time (s) Run #5";"Period (s) Run #5"
143,815;1,4969;144,187;1,4984;144,328;1,4992;144,912;1,5005;145,007;1,5038
145,312;1,4972;145,685;1,4985;145,827;1,4991;146,413;1,5006;146,511;1,5038
146,809;1,4968;147,184;1,4984;147,327;1,4993;147,913;1,5005;148,014;1,5037
148,306;1,4972;148,682;1,4985;148,826;1,4990;149,414;1,5006;149,518;1,5037
149,803;1,4969;150,180;1,4984;150,325;1,4992;150,914;1,5004;151,022;1,5037
151,300;1,4971;151,679;1,4984;151,824;1,4990;152,415;1,5005;152,525;1,5036
152,797;1,4970;153,177;1,4984;153,323;1,4992;153,915;1,5005;154,029;1,5036
154,294;1,4970;154,675;1,4982;154,822;1,4991;155,416;1,5005;155,532;1,5036
155,791;1,4971;156,174;1,4987;156,321;1,4991;156,916;1,5005;157,036;1,5035
157,288;1,4969;157,673;1,4984;157,821;1,4991;158,417;1,5004;158,539;1,5035
158,785;1,4971;159,171;1,4984;159,320;1,4991;159,917;1,5005;160,043;1,5035
160,282;1,4969;160,669;1,4984;160,819;1,4991;161,418;1,5004;161,546;1,5034
161,779;1,4972;162,168;1,4985;162,318;1,4990;162,918;1,5004;163,050;1,5033
163,276;1,4968;163,666;1,4984;163,817;1,4992;164,418;1,5003;164,553;1,5034
164,773;1,4971;165,165;1,4984;165,316;1,4990;165,919;1,5004;166,056;1,5033
166,270;1,4968;166,663;1,4983;166,815;1,4991;167,419;1,5003;167,560;1,5033
167,767;1,4971;168,161;1,4984;168,314;1,4990;168,919;1,5003;169,063;1,5032
169,264;1,4969;169,660;1,4985;169,813;1,4990;170,420;1,5003;170,566;1,5032
170,761;1,4970;171,158;1,4984;171,312;1,4990;171,920;1,5003;172,069;1,5031
172,258;1,4970;172,657;1,4984;172,811;1,4989;173,420;1,5003;173,572;1,5032
173,755;1,4969;174,155;1,4983;174,310;1,4991;174,920;1,5002;175,076;1,5032
175,252;1,4971;175,653;1,4984;175,809;1,4989;176,421;1,5003;176,579;1,5031
176,749;1,4967;177,152;1,4983;177,308;1,4990;177,921;1,5002;178,082;1,5030
178,246;1,4971;178,650;1,4983;178,807;1,4989;179,421;1,5003;179,585;1,5030
179,742;1,4967;180,148;1,4984;180,306;1,4990;180,921;1,5002;181,088;1,5030
181,239;1,4970;181,647;1,4983;181,805;1,4988;182,422;1,5002;182,591;1,5029
182,736;1,4968;183,145;1,4983;183,304;1,4991;183,922;1,5002;184,094;1,5030
184,233;1,4970;184,643;1,4984;184,803;1,4992;185,422;1,5002;185,596;1,5029
185,730;1,4969;186,142;1,4983;186,302;1,4990;186,922;1,5002;187,099;1,5029
187,227;1,4968;187,640;1,4983;187,801;1,4991;188,422;1,5001;188,602;1,5029
188,724;1,4970;189,138;1,4984;189,300;1,4988;189,922;1,5001;190,105;1,5028
190,221;1,4968;190,637;1,4984;190,799;1,4989;191,422;1,5001;191,608;1,5028
191,718;1,4972;192,135;1,4983;192,297;1,4986;192,923;1,5001;193,110;1,5027
193,215;1,4967;193,633;1,4983;193,796;1,4989;194,423;1,5001;194,613;1,5027
194,712;1,4970;195,132;1,4983;195,295;1,4988;195,923;1,5001;196,116;1,5027
196,209;1,4968;196,630;1,4984;196,794;1,4989;197,423;1,5000;197,619;1,5027
197,705;1,4969;198,128;1,4983;198,293;1,4988;198,923;1,5000;199,121;1,5027
199,202;1,4967;199,627;1,4984;199,792;1,4990;200,423;1,5000;200,624;1,5027
200,699;1,4969;201,125;1,4983;201,291;1,4989;201,923;1,5000;202,127;1,5026
202,196;1,4967;202,623;1,4983;202,789;1,4989;203,423;1,5000;203,629;1,5027
203,692;1,4967;204,122;1,4984;204,288;1,4988;204,923;1,5000;205,132;1,5028
205,189;1,4968;205,620;1,4982;205,787;1,4989;206,423;1,5000;206,634;1,5025
206,686;1,4967;207,118;1,4984;207,286;1,4989;207,923;1,4999;208,137;1,5025
208,183;1,4968;208,617;1,4983;208,785;1,4989;209,423;1,5000;209,639;1,5025
209,679;1,4967;210,115;1,4983;210,284;1,4988;210,923;1,4999;211,142;1,5024
211,176;1,4969;211,613;1,4983;211,783;1,4989;212,423;1,4999;212,644;1,5024
212,673;1,4966;213,111;1,4981;213,281;1,4989;213,922;1,4999;214,147;1,5024
214,170;1,4969;214,610;1,4983;214,780;1,4987;215,422;1,4999;215,649;1,5024
215,667;1,4967;216,108;1,4984;216,279;1,4989;216,922;1,4999;217,151;1,5023
217,163;1,4968;217,606;1,4983;217,778;1,4988;218,422;1,4999;218,654;1,5023
